class,provider,full_course_start,full_course_end,first_garett_lesson,last_garett_lesson,garett_lessons,full_lessons,garett_status,source_count,sources
HK265HG · FS · JUL 2026,基督教勵行會,2026-07-24,2026-08-12,2026-07-24,2026-08-12,12,12,confirmed,1,"HK265HG(FS)7月班_0508.doc, lesson 12"
MC0106DS · 第2班,循道衞理中心,2026-07-25,2026-09-10,2026-08-01,2026-08-15,6,47,confirmed,47,"2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 1 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 10 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 11 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 12 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 13 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 14 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 15 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 16 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 17 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 18 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 19 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 2 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 20 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 21 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 22 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 23 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 24 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 25 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 26 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 27 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 28 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 29 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 3 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 30 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 31 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 32 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 33 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 34 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 35 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 36 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 37 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 38 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 39 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 4 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 40 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 41 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 42 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 43 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 44 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 45 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 46 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 47 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 5 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 6 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 7 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 8 - FINAL FINAL | 2026 08 01 (2026 07 25) - MC106DS_FINAL FINAL (CHI) - MC - 灣仔.xlsx, lesson 9 - FINAL FINAL"
HK244HG · CW8,基督教勵行會,2026-08-06,2026-09-08,2026-08-06,2026-09-03,8,12,confirmed,1,WhatsApp Image 2026-07-29 at 14.00.32.jpeg
HK239HG · FS,基督教勵行會,2026-08-14,2026-08-21,2026-08-14,2026-08-19,3,6,confirmed,6,"HK239HG(FS)8月班_0508.doc screenshot and Calvin WhatsApp confirmation 2026-07-16, lesson 1 | HK239HG(FS)8月班_0508.doc screenshot and Calvin WhatsApp confirmation 2026-07-16, lesson 3 | HK239HG(FS)8月班_0508.doc screenshot and Calvin WhatsApp confirmation 2026-07-16, lesson 4 | HK239HG(FS)8月班_0508.doc screenshot and Calvin WhatsApp confirmation 2026-07-16, lesson 5 covered by another tutor | HK239HG(FS)8月班_0508.doc screenshot and Calvin WhatsApp confirmation 2026-07-16, lesson 6 covered by another tutor | WhatsApp Image 2026-07-29 at 14.00.32.jpeg supersedes the earlier 2026-07-16 allocation by confirming Garett for HK244HG CW8 L3 at the same time"
HK239HG · CW10,基督教勵行會,2026-08-27,2026-09-07,2026-08-27,2026-09-07,6,6,confirmed,6,"HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 1 | HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 2 | HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 3 | HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 4 | HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 5 | HK239HG(CW10)_R3.docx, confirmed 2026-07-16, lesson 6"
HK244EG · CW,基督教勵行會,2026-08-24,2026-10-08,2026-08-31,2026-10-07,11,18,confirmed,18,"HK244EG(CW )_R2.doc, lesson 1 | HK244EG(CW )_R2.doc, lesson 10 | HK244EG(CW )_R2.doc, lesson 11 | HK244EG(CW )_R2.doc, lesson 12 | HK244EG(CW )_R2.doc, lesson 13 | HK244EG(CW )_R2.doc, lesson 14 | HK244EG(CW )_R2.doc, lesson 15 | HK244EG(CW )_R2.doc, lesson 16 | HK244EG(CW )_R2.doc, lesson 17 | HK244EG(CW )_R2.doc, lesson 18 | HK244EG(CW )_R2.doc, lesson 2 | HK244EG(CW )_R2.doc, lesson 3 | HK244EG(CW )_R2.doc, lesson 4 | HK244EG(CW )_R2.doc, lesson 5 | HK244EG(CW )_R2.doc, lesson 6 | HK244EG(CW )_R2.doc, lesson 7 | HK244EG(CW )_R2.doc, lesson 8 | HK244EG(CW )_R2.doc, lesson 9"
HK280HG · CW1,基督教勵行會,2026-08-31,2026-09-10,2026-08-31,2026-09-10,5,5,confirmed,1,WhatsApp Image 2026-07-29 at 14.00.13.jpeg
HK265HG · FS · SEP 2026,基督教勵行會,2026-09-16,2026-10-14,2026-09-16,2026-10-14,12,12,confirmed,2,"HK265HG(FS)9月班_0625_0707_check again 03.doc, lesson 12 | Latest personal workbook"
HK244EG · FS,基督教勵行會,2026-09-21,2026-11-03,2026-09-21,2026-11-03,18,18,confirmed,0,
HK239HG · SS,基督教勵行會,2026-09-23,2026-10-12,2026-09-23,2026-10-12,6,6,confirmed,1,HK239HG_SS_R2_CHECKED_REPLACEMENT_DATES_PROPOSED R1_OK.docx
